,Tweets,id,date,likes,retweets,place
0,2404 إصابات جديدة بـ «كورونا»  ,1348754574581006336,2021-01-11 22:12:03,0,0,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
1,الحمد لله تم اخذ تطعيم ,1348730606218338306,2021-01-11 20:36:49,1,1,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='01bb72922e8454b4', url='https://api.twitter.com/1.1/geo/id/01bb72922e8454b4.json', place_type='admin', name='Fujairah', full_name='Fujairah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[55.9170692, 25.0871026], [56.3739998, 25.0871026], [56.3739998, 25.6625265], [55.9170692, 25.6625265]]]), attributes={})"
2,كورونا حبيبي روح افحص.,1348714875648946180,2021-01-11 19:34:18,0,0,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
3,لبنان يعلن الطوارئ الصحية لمواجهة ارتفاع إصابات كورونا  ,1348701847779897345,2021-01-11 18:42:32,1,0,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
4,كيف يفكني من كورونا,1348693853134606338,2021-01-11 18:10:46,0,0,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
5,"صلاة الماضية تحت الثلوج الكثيفة المتساقطة في مدينة ساراتوف الروسية اللهم أعز الإسلام أعرف مجموعة لين الحين ماتصلي تخاف من وهم ما تركوا ""مول"" او مهرجان او حدث فيها تجمعات إلا وهم أول الناس فيها  ""وَاسْتعينوا بالصبر والصلاة وَإِنَّها لكبيرة إلا على الخاشعين"" ",1348683867096543238,2021-01-11 17:31:05,7,7,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
6,"صحيفة سبق / ""بخاخ أنف"" يقتل ""كورونا"" قبل وصوله إلى الرئة.. والفاعلية 99,9% - عبر نبض ",1348681535411642369,2021-01-11 17:21:49,0,0,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
7,الكويت تسجل 527 إصابة جديدة بـ “كورونا”  ,1348672160752050176,2021-01-11 16:44:34,0,0,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
8,محمد بن زايد يبحث مع الرئيس العراقي مرحلة ما بعد “كورونا”  ,1348668766306004992,2021-01-11 16:31:05,1,0,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
9,محمد بن زايد يبحث مع رئيس ليبيريا التنسيق الدولي لمواجهة “كورونا”  ,1348668761906139141,2021-01-11 16:31:04,3,2,"Place(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0ca5bdbcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
