,Tweets,id,date,likes,retweets,place
0,الحرة- ارتفعت أسعار الذهب، الإثنين، لأعلى مستوى في شهرين تقريبا، مدفوعة بانخفاض الدولار وآمال بمزيد من إجراءات التحفيز بسبب جائحة فيروس كورونا المستجد. ,1325797800186179594,2020-11-09 13:50:02,1,0,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
1,بكرة عندي فحص كورونا يا ربي شو عملت بحياتي انا ,1325797361784905731,2020-11-09 13:48:17,2,0,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
2,خبر توصل شركة فايزر للقاح فعال ضد فيروس يبشر بنهاية سعيدة لسنة كبيسة ,1325788277807468545,2020-11-09 13:12:12,53,9,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
3,هل انتهت كورونا مع خسارة ترامب ؟؟ ,1325782162076004354,2020-11-09 12:47:53,1,0,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
4,"الشيخ صقر بن سعود بن صقر القاسمي يؤكد خلال تلقيه لقاح فيروس كورونا المستجد ""كوفيد 19"" أن شباب الإمارات يتحلى بالمسؤولية والوعي التام بضرورة اتخاذ كافة سبل الوقاية للحد من انتشار الفيروس، وهم يدعمون الجهود الوطنية التي تقوم بها القيادة الرشيدة في هذا المجال. ",1325767526366793729,2020-11-09 11:49:44,4,3,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='01b984d319b42814', url='https://api.twitter.com/1.1/geo/id/01b984d319b42814.json', place_type='admin', name='Ras Al Khaimah', full_name='Ras Al Khaimah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[55.7414877, 24.8517657], [56.3489937, 24.8517657], [56.3489937, 26.0841599], [55.7414877, 26.0841599]]]), attributes={})"
5,شلون كانت لقاءاتنا ، وشلون بيكون لقاءنا عقب كورونا  ,1325763250819043328,2020-11-09 11:32:45,1,0,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
6,يارب كورونا تدينا فرصة بس اصلاً السودان شهر ١٢ احسن وقت,1325759005910818818,2020-11-09 11:15:53,0,0,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='00ecb59b0dad186e', url='https://api.twitter.com/1.1/geo/id/00ecb59b0dad186e.json', place_type='admin', name='Sharjah', full_name='Sharjah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[55.0091271, 24.7328863], [56.3816989, 24.7328863], [56.3816989, 25.8997649], [55.0091271, 25.8997649]]]), attributes={})"
7,بتوجيهات سمو الشيخ حمدان بن زايد آل نهيان، دشنت الهيئة برنامج المساعدات الشتوية، التي يستفيد منها حوالي مليون شخص في 25 دولة حول العالم، من ضمنها 5 دول مستضيفة للاجئين السوريين ,1325741102192791553,2020-11-09 10:04:44,5,2,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
8,بعد توقف ٦ أشهر بسبب جائحة كورونا (كوفيد ١٩) العالمى جويدو كبالينى المدير الفنى و مدرب فريق للزوارق السريعة الفورمولا ١ يبدأ تدريبات المتسابقين استعداداً لموسم ٢٠٢١ وتبدأ يومياً التدريبات لمتسابقى الزوارق السريعة من ٩ صباحاً وحتى ١١:٣٠ صباحاً يومياً على كورنيش أبوظبي. ,1325726588877615104,2020-11-09 09:07:04,1,0,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
9,القرية السنة روعة مثل كل سنة وما تغير شي بالرغم من كورونا.. بس ياريت تلقون حل للبائعين.. قمنا نشرد من القرى حتى لو ابغي اشتري شي ما يعطيني فرصة أشوف.. لازم ينعطون دورة مبيعات لأن هالوضع قام يزعج الجميع..,1325725346545668096,2020-11-09 09:02:08,0,0,"Place(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, id='01b984d319b42814', url='https://api.twitter.com/1.1/geo/id/01b984d319b42814.json', place_type='admin', name='Ras Al Khaimah', full_name='Ras Al Khaimah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5cb4dbf790>, type='Polygon', coordinates=[[[55.7414877, 24.8517657], [56.3489937, 24.8517657], [56.3489937, 26.0841599], [55.7414877, 26.0841599]]]), attributes={})"
