,Tweets,id,date,likes,retweets,place
0,بشرى سارة من وزير الصحة السعودي بشأن لقاح كورونا  ,1367147645047697408,2021-03-03 16:19:33,0,0,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
1,الصحة العالمية ترفض مطالبة المسافرين بإثبات التطعيم ضد كورونا  ,1367132682711224320,2021-03-03 15:20:06,0,1,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
2,"بالرغم من تفشي وباء كورونا و الوضع الأمني الخطر في صرح بأنه : "" ذاهب إلى العراق، الذي لم يتمكن البابا الراحل يوحنا بولس من التوجه إليه عام 2000، لأنه لا يمكن خذل الناس مرة ثانية "" زيارة مباركة و الله خير الحافظين  ",1367129978366746629,2021-03-03 15:09:21,20,1,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
3,السودان يتسلم أول شحنة من اللقاحات ضد كورونا  ,1367127008136765450,2021-03-03 14:57:33,0,1,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
4,الإمارات توزع 6.168 ملايين جرعة من اللقاح ضد كورونا  ,1367105783268134920,2021-03-03 13:33:12,4,2,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
5,فعالية «فيناسترا يونيفرس» حول أولويات البنوك: جائحة «كوفيد19» عجلت بقدوم المستقبل  ,1367105765354266631,2021-03-03 13:33:08,0,0,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
6,“بلدية دبي” تخالف 5 مؤسسات وتنذر 25 لمخالفة إجراءات مواجهة “كورونا”  ,1367095424129978369,2021-03-03 12:52:03,1,0,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
7,“الصحة” تعلن تقديم 73.374 جرعة من لقاح كورونا خلال الـ 24 ساعة الماضية  ,1367088754712670208,2021-03-03 12:25:33,0,0,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
8,مخالفة 13 شخصاً في الشارقة لعدم تقيدهم بإجراءات مكافحة كورونا  ,1367081962159054851,2021-03-03 11:58:33,0,0,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
9,فكرة تجديد الهوية فكرة صحيحة .. بس التوقيت خاطىء شوي كتير .. بظروف كورونا وين بدك تجمع العالم بالنفوس.. و اصلا مو ملاقيين ياكلوا خبز و عم تتدهور عملتن فمانن فاضيين يفكروا بتجديد هوية يلي بدها تصوير و معاملة و فت عملة .. الغريب بالبلد مصدرين القوانين عايشين بكوكب مختلف تماماً,1367080749179039753,2021-03-03 11:53:44,2,0,"Place(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f0e23c2bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
