,Tweets,id,date,likes,retweets,place
0,سبحان الله، لي صديق ليس على دين الاسلام. يمر بضروف صعبه بسبب جائحة كرونا، حيث انه خسر كل ما يملك. و يستشهد بالقرآن، ( لا يكلف الله نفساً إلا وسعها). ,1329321390315630593,2020-11-19 07:11:31,0,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
1, : انت كورونا ؟  : لا ليش؟  : اشوفك تنتقل من وحده لوحده بسرعة,1329302492467900417,2020-11-19 05:56:26,2,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
2,جهاز فحص الاصابة بـ تظهر خلال نصف ساعة، ودقته تصل إلى 94%. سعره نحو 50 دولار (30JD) ,1329283578945998849,2020-11-19 04:41:16,2,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
3,"قال كازوهيكو سايتو ، كبير المحللين في شركة فوجيتومي: ""انتشار عدوى فيروس كورونا والقيود الجديدة في الولايات المتحدة وأجزاء أخرى من العالم أثرت على معنويات السوق لأنها ستعيق الطلب على الوقود"".",1329277831495421952,2020-11-19 04:18:26,3,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
4,اخر مره مسكوني نفسك المسكة كنت بسوي فحص كورونا و هي تقول لي لو سمحت لا تمسك ايدي ,1329174744353083401,2020-11-18 21:28:48,1,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
5,أرشح سمو الشيخة د. شما بنت محمد بن خالد آل نهيان كشخصية ثقافية، ساهمت في الحد من القلق والتوتر في جائحة كورونا حيث أولت اهتماما مكثفا وتوجهاً للثقافة والعلوم تحت شعار,1329158206707347456,2020-11-18 20:23:05,2,1,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
6,من ورا ١٥١١٦ في  ,1329121760516730880,2020-11-18 17:58:16,0,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
7,ولي عهد الشارقة: معظم مشروعاتنا التنموية أُنجزت خلال فترة انتشار «كورونا» | صحيفة الشرق الأوسط ,1329113590708756490,2020-11-18 17:25:48,2,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
8,"شو سالفه منتخب مصر مع "" الطوبه "" لثاني مره مصر تخسر التاهل بسبب حجر . بعد حادثه مباراه زيمبابوي 1994 و حادثه مباراه الجزائر 2010",1329079624798638090,2020-11-18 15:10:50,0,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='01bb72922e8454b4', url='https://api.twitter.com/1.1/geo/id/01bb72922e8454b4.json', place_type='admin', name='Fujairah', full_name='Fujairah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[55.9170692, 25.0871026], [56.3739998, 25.0871026], [56.3739998, 25.6625265], [55.9170692, 25.6625265]]]), attributes={})"
9,و هل ابقى بشار الاسد و عصاباته الايرانية الطائفية على بشر او حجر ؟ دمروا كل سوريا و قتلوا الالاف من الشعب السوري و هجروه الملايين لذلك كفى ذرفا دموع التماسيح على ركام سوريا و قفوا وقفة ضمير ضد عصابة بشار المجرم و ايران او دعوا اسرائيل تتكفل بهم يا اصنام ,1329078605100449793,2020-11-18 15:06:47,0,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
10,حبيبي انت قوي بكل شي بس ارجع بدون كورونا,1329006768291196928,2020-11-18 10:21:19,0,0,"Place(_api=<tweepy.api.API object at 0x7f1a74644790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1a74644790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
