,Tweets,id,date,likes,retweets,place
0,yess due to Covid,1367380189869703168,2021-03-04 07:43:36,0,0,"Place(_api=<tweepy.api.API object at 0x7f32b6467cd0>, id='01a4aba930967a19', url='https://api.twitter.com/1.1/geo/id/01a4aba930967a19.json', place_type='admin', name='Ajman', full_name='Ajman, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f32b6467cd0>, type='Polygon', coordinates=[[[55.4228459, 24.7422387], [56.1015028, 24.7422387], [56.1015028, 25.4513274], [55.4228459, 25.4513274]]]), attributes={})"
1,During IPL and T10 League in UAE every other day covid test conducted no case came Positive during tournament hence during PSL mostly positive cases reported Well something is cooking PCB not handling this in a right way  Learn from other Leagues,1367374178706423810,2021-03-04 07:19:43,0,0,"Place(_api=<tweepy.api.API object at 0x7f32b6467cd0>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f32b6467cd0>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
2,"Corona Update: Amma who is 82+ years got herself Vaccinated. In Ernakulam. It is time for the children to take their parents for the Vaccine. Jokes apart, when u have servants, when their Immunity much lesser and affects of Covid might be higher, it is safer to get Vaccinated. ",1367370733043802116,2021-03-04 07:06:01,1,0,"Place(_api=<tweepy.api.API object at 0x7f32b6467cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f32b6467cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
3,Since people are bored with the COVID-19 news the media is panicking about their rates and they are trying to make up stories,1367366056210100226,2021-03-04 06:47:26,0,0,"Place(_api=<tweepy.api.API object at 0x7f32b6467cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f32b6467cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
4,"is about accelerating business as a force for good — for organisations of all sizes, but especially for brand leaders in developing markets...  ",1367342849776259077,2021-03-04 05:15:14,0,0,"Place(_api=<tweepy.api.API object at 0x7f32b6467cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f32b6467cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
5,I feel like this year we’re all tired of Covid and politics and we just want to dance in our festivals and nightclubs for our fave DJs. Am i wrong ,1367318474477944834,2021-03-04 03:38:22,30,2,"Place(_api=<tweepy.api.API object at 0x7f32b6467cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f32b6467cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
6,"Get a life Ronan you f**king eejit. I've had a load of tests (all negative), never take any precautions. I've more chance of winning the Euro Millions than getting Covid. It's a disease that kills 85+ year olds but this is your career defining moment so you'll happily..",1367244790744555529,2021-03-03 22:45:34,4,0,"Place(_api=<tweepy.api.API object at 0x7f32b6467cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f32b6467cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
7,Birthday ko na bukas and here I am waiting for my Covid swab test result.,1367236774179860487,2021-03-03 22:13:43,1,0,"Place(_api=<tweepy.api.API object at 0x7f32b6467cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f32b6467cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
