,Tweets,id,date,likes,retweets,place
0,I vote for Mohamed abdulla alzarooni Director of Sharjah Medical District for his leadership and hard work in managing Covid 19 in Sharjah Emirate ,1332341349400653831,2020-11-27 15:11:46,4,2,"Place(_api=<tweepy.api.API object at 0x7f5d7f1b8790>, id='00ecb59b0dad186e', url='https://api.twitter.com/1.1/geo/id/00ecb59b0dad186e.json', place_type='admin', name='Sharjah', full_name='Sharjah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5d7f1b8790>, type='Polygon', coordinates=[[[55.0091271, 24.7328863], [56.3816989, 24.7328863], [56.3816989, 25.8997649], [55.0091271, 25.8997649]]]), attributes={})"
1,I vote for Mohamed abdulla alzarooni Director of Sharjah Medical District for his leadership and hard work in managing Covid 19 in Sharjah Emirate,1332340672024764416,2020-11-27 15:09:04,0,0,"Place(_api=<tweepy.api.API object at 0x7f5d7f1b8790>, id='00ecb59b0dad186e', url='https://api.twitter.com/1.1/geo/id/00ecb59b0dad186e.json', place_type='admin', name='Sharjah', full_name='Sharjah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5d7f1b8790>, type='Polygon', coordinates=[[[55.0091271, 24.7328863], [56.3816989, 24.7328863], [56.3816989, 25.8997649], [55.0091271, 25.8997649]]]), attributes={})"
2,Foreign investment in films drops by 50% in Morocco   via,1332339509455949825,2020-11-27 15:04:27,1,0,"Place(_api=<tweepy.api.API object at 0x7f5d7f1b8790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5d7f1b8790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
