,Tweets,id,date,likes,retweets,place
0,"True, because you are basically being injected with an inactive strand of the virus. The problem is the active one... lastig this Covid-19 ... I'm so annoyed now...",1357469485989572608,2021-02-04 23:22:00,0,0,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
1,Even Covid will run ooo,1357427817215107072,2021-02-04 20:36:26,1,0,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
2,We had a lovely chat about Danish media coverage of Dubai and how silly it is that Denmark hasn’t had mandatory testing or quarantine after travels. I told her we still haven’t seen any details/proof in the UAE about the alleged Covid cases returning to Denmark.,1357353321124749312,2021-02-04 15:40:24,1,0,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
3,First dose of covid 19 vaccine ,1357349038870458368,2021-02-04 15:23:23,0,0,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
4,Had my first dose of the COVID-19 vaccine today ,1357339819433578510,2021-02-04 14:46:45,30,0,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
5,"Where is your proof INDONESIA IS BY FAR THE WORST don’t me. DO NOT SPREAD NEGATIVITY out your personal biases, if you have time for Twitter, therefore, you must have time for Google at least on COVID if you cannot dissect on economics per see.",1357335103723110403,2021-02-04 14:28:01,0,0,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
6,Covid is never gonna calm down till we ALL lockdown for a whileeee. Cuz these mutations are gonna screw us and they’re screwing the vaccines and we’re never gonna move forward,1357321718885449728,2021-02-04 13:34:50,4,3,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
7,World cancer day ..  . ,1357316966357241859,2021-02-04 13:15:57,0,1,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
8,I’ve tested positive to covid in Dubai and I need everyone help on what to do . I’m isolating as well and I don’t know what else to do,1357298991763963905,2021-02-04 12:04:31,0,0,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
9,"Hello , Any idea where I can get 1st Dose COVID-19 vaccine , and the it is Compulsory for all ",1357293720748580866,2021-02-04 11:43:34,0,0,"Place(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, id='00ecb59b0dad186e', url='https://api.twitter.com/1.1/geo/id/00ecb59b0dad186e.json', place_type='admin', name='Sharjah', full_name='Sharjah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f49dc92bcd0>, type='Polygon', coordinates=[[[55.0091271, 24.7328863], [56.3816989, 24.7328863], [56.3816989, 25.8997649], [55.0091271, 25.8997649]]]), attributes={})"
